fid,name,population,county,latitude,longitude,level,enrollment,level.1
17412,COLD SPRINGS MENNONITE SCHOOL,76,ABBEVILLE,34.239465,-82.395392,Combined elementary and secondary,70,Combined elementary and secondary
17407,LIGHTHOUSE CHRISTIAN ACADEMY OF DONALDS,16,ABBEVILLE,34.372268,-82.34524,Elementary,13,Elementary
26221,SHILOH CHRISTIAN SCHOOL,47,ABBEVILLE,34.299716,-82.450329,Combined elementary and secondary,43,Combined elementary and secondary
8207,NORTHSIDE CHRISTIAN SCHOOL,315,ACADIA,30.21376,-92.374281,Combined elementary and secondary,299,Combined elementary and secondary
8235,NOTRE DAME HIGH SCHOOL,455,ACADIA,30.221804,-92.367541,Secondary,423,Secondary
8196,OUR MOTHER OF PEACE ELEMENTARY,292,ACADIA,30.40777,-92.215586,Elementary,275,Elementary
8264,RAYNE CATHOLIC ELEMENTARY SCHOOL,423,ACADIA,30.232809,-92.267436,Elementary,404,Elementary
8254,REDEMPTORIST CATHOLIC SCHOOL,199,ACADIA,30.206602,-92.361429,Elementary,188,Elementary
8187,ST FRANCIS SCHOOL,170,ACADIA,30.317397,-92.492445,Elementary,159,Elementary
8200,ST MICHAEL ELEMENTARY SCHOOL,407,ACADIA,30.225841,-92.369245,Elementary,381,Elementary
23014,CENTRAL BAPTIST ACADEMY,36,ACCOMACK,37.671905,-75.72872,Combined elementary and secondary,33,Combined elementary and secondary
24998,ARTS WEST SCHOOL,356,ADA,43.696177,-116.395858,Combined elementary and secondary,338,Combined elementary and secondary
5614,BISHOP KELLY HIGH SCHOOL,768,ADA,43.602318,-116.269507,Secondary,722,Secondary
5612,BOISE VALLEY ADVENTIST SCHOOL,59,ADA,43.614166,-116.337664,Elementary,53,Elementary
5583,CALVARY CHRISTIAN SCHOOL,119,ADA,43.604096,-116.276372,Elementary,110,Elementary
25000,CHRISTIAN CHURCH RANCH SCHOOL,25,ADA,43.677016,-116.424399,Combined elementary and secondary,20,Combined elementary and secondary
5591,CLOVERDALE MONTESSORI,5,ADA,43.644582,-116.334949,Elementary,4,Elementary
5586,COLE VALLEY CHRISTIAN SCHOOLS,758,ADA,43.614829,-116.390397,Combined elementary and secondary,703,Combined elementary and secondary
23158,EAGLE ADVENTIST CHRISTIAN SCHOOL & PRESCHOOL,27,ADA,43.696752,-116.360866,Elementary,24,Elementary
5603,FOOTHILLS SCHOOL OF ARTS & SCIENCES,128,ADA,43.611419,-116.207151,Combined elementary and secondary,115,Combined elementary and secondary
5585,KING'S KIDS PRESCHOOL & KINDERGARTEN,4,ADA,43.625043,-116.394292,Elementary,3,Elementary
5600,LEARNING TREEINC,33,ADA,43.646114,-116.223228,Elementary,30,Elementary
5610,MARANATHA CHRISTIAN SCHOOL,65,ADA,43.620302,-116.332196,Elementary,59,Elementary
5597,MONTESSORI ACADEMY,67,ADA,43.689918,-116.356762,Elementary,59,Elementary
5601,NORTHVIEW MONTESSORI SCHOOL,17,ADA,43.626897,-116.277663,Elementary,15,Elementary
5598,PARKCENTER MONTESSORI,43,ADA,43.589028,-116.17646,Elementary,29,Elementary
21333,RIVERSTONE INTERNATIONAL SCHOOL,337,ADA,43.565653,-116.115734,Combined elementary and secondary,291,Combined elementary and secondary
5593,ROSE HILL MONTESSORI,54,ADA,43.598596,-116.238864,Elementary,45,Elementary
5615,SACRED HEART SCHOOL,151,ADA,43.596517,-116.23018,Elementary,140,Elementary
5595,SHERIDAN ACADEMY,17,ADA,43.593677,-116.242908,Secondary,15,Secondary
5581,ST JOSEPH'S CATHOLIC SCHOOL,353,ADA,43.621525,-116.19877,Elementary,332,Elementary
5608,ST MARKS ELEMENTARY SCHOOL,344,ADA,43.626237,-116.275892,Elementary,328,Elementary
20650,ST MARYS SCHOOL,203,ADA,43.631816,-116.222294,Elementary,192,Elementary
21367,TEEN CHALLENGE CHRISTIAN ACADEMY,2,ADA,43.620802,-116.331976,Secondary,1,Secondary
5605,THE AMBROSE SCHOOL,469,ADA,43.66241,-116.374114,Combined elementary and secondary,441,Combined elementary and secondary
5588,THE CHILDREN'S SCHOOL OF BOISE,19,ADA,43.623719,-116.197975,Elementary,16,Elementary
15389,COOKSON HILLS CHRISTIAN SCHOOL,78,ADAIR,36.140914,-94.784734,Combined elementary and secondary,67,Combined elementary and secondary
10405,FAITH LUTHERAN SCHOOL,46,ADAIR,40.179552,-92.572498,Elementary,41,Elementary
10412,LIFE CHURCH SCHOOL,82,ADAIR,40.211076,-92.584068,Combined elementary and secondary,63,Combined elementary and secondary
10419,MARY IMMACULATE ELEMENTARY SCHOOL,68,ADAIR,40.194345,-92.576432,Elementary,61,Elementary
15670,ADAMS COUNTY CHRISTIAN ACADEMY,108,ADAMS,39.876645,-77.243264,Combined elementary and secondary,90,Combined elementary and secondary
14269,ADAMS COUNTY CHRISTIAN SCHOOL,76,ADAMS,38.778771,-83.560626,Combined elementary and secondary,66,Combined elementary and secondary
10705,ADAMS COUNTY CHRISTIAN SCHOOL,397,ADAMS,31.561988,-91.352,Combined elementary and secondary,368,Combined elementary and secondary
15669,ANNUNCIATION BVM SCHOOL,280,ADAMS,39.804418,-77.020559,Elementary,262,Elementary
3458,ASSUMPTION CATHOLIC SCHOOL,132,ADAMS,39.83844,-104.958461,Elementary,121,Elementary
3520,BELLEVIEW CHRISTIAN SCHOOL,289,ADAMS,39.847127,-105.031879,Combined elementary and secondary,266,Combined elementary and secondary
5830,BLESSED SACRAMENT CATHOLIC SCHOOL,154,ADAMS,39.917639,-91.403818,Elementary,142,Elementary
6342,BLUE CREEK SCHOOL,58,ADAMS,40.701155,-84.953706,Elementary,55,Elementary
6990,BROOKSIDE SCHOOL,63,ADAMS,40.629628,-84.835137,Elementary,60,Elementary
21649,CATHEDRAL SCHOOL,612,ADAMS,31.561973,-91.39483,Combined elementary and secondary,578,Combined elementary and secondary
23107,CEDAR WOOD CHRISTIAN ACADEMY,60,ADAMS,39.745316,-104.854554,Combined elementary and secondary,53,Combined elementary and secondary
5834,CHADDOCK,73,ADAMS,39.930367,-91.377605,Combined elementary and secondary,62,Combined elementary and secondary
3537,CHILDRENS OUTREACH PROJECT,18,ADAMS,39.842273,-105.006288,Elementary,16,Elementary
11595,CHRIST LUTHERAN SCHOOL,53,ADAMS,40.653506,-98.578747,Elementary,49,Elementary
6258,CLEARVIEW AMISH SCHOOL,38,ADAMS,40.697609,-84.97455,Elementary,37,Elementary
3566,COMMUNITY CHRISTIAN,186,ADAMS,39.913748,-104.966969,Combined elementary and secondary,171,Combined elementary and secondary
